Source	Precision	Recall	Fmeasure	ErrorRate	MAD	MNAD
finance-abc7chicago-com	0.823463687150838	0.6309931506849316	0.7144934561318468	0.36900684931506844	1331091.25	1.9115914255962707E-6
stockpickr	0.9471698113207547	0.6446917808219178	0.7671930718288335	0.3553082191780822	8358.7822265625	8.729974979360122E-6
smartmoney	0.9043659043659044	0.7448630136986302	0.8169014084507042	0.25513698630136983	1.4167524352E10	4.817125613953976E-7
minyanville	0.823463687150838	0.6309931506849316	0.7144934561318468	0.36900684931506844	1331205.125	1.9366775632079225E-6
raymond-james	0.6143250688705234	0.5727739726027398	0.5928223305272485	0.42722602739726023	199172.875	3.5758841931965435E-7
finance-abc7-com	0.823463687150838	0.6309931506849316	0.7144934561318468	0.36900684931506844	1331091.25	1.9115914255962707E-6
google-finance	0.7570356472795498	0.6909246575342466	0.7224709042076992	0.3090753424657534	3.77997632E8	3.793437031163194E-7
marketintellisearch	0.6187904967602592	0.4905821917808219	0.5472779369627507	0.509417808219178	3.13620448E8	8.290719506476307E-7
msn-money	0.8679245283018868	0.8664383561643836	0.8671808054841474	0.13356164383561642	3.39150016E8	3.7701238397858106E-7
paidcontent	0.823463687150838	0.6309931506849316	0.7144934561318468	0.36900684931506844	1332007.875	1.8942732822324615E-6
thecramerreport	0.7941176470588235	0.3236301369863014	0.45985401459854014	0.6763698630136986	575165.8125	1.8579284244424343E-7
cio-com	0.8605313092979127	0.776541095890411	0.8163816381638163	0.22345890410958902	1.26254912E8	1.2698794762400212E-6
investorguide	0.6751787538304392	0.5659246575342466	0.6157428970656731	0.4340753424657534	8.8875264E8	3.959278738197014E-11
simple-stock-quotes	0.75	0.2517123287671233	0.37692307692307697	0.7482876712328768	NaN	NaN
streetinsider-com	0.7920148560817084	0.7303082191780822	0.7599109131403119	0.2696917808219178	92363.1015625	1.7140190493591945E-6
eresearch-fidelity-com	0.8536585365853658	0.7791095890410958	0.8146821844225605	0.22089041095890416	1.94379696E8	3.289325718469627E-7
bloomberg	0.6611489776046738	0.5813356164383562	0.6186788154897495	0.4186643835616438	3.0427312E8	1.124579057432129E-6
tmx-quotemedia	0.7941680960548885	0.7928082191780822	0.7934875749785775	0.2071917808219178	2.57097024E8	9.082942398208615E-8
financial-content	0.823463687150838	0.6309931506849316	0.7144934561318468	0.36900684931506844	1331125.5	1.921187504194677E-6
yahoo-finance	0.7811158798283262	0.7791095890410958	0.7801114444920704	0.22089041095890416	4.39965728E8	5.199894417273754E-7
scroli	0.8203221809169765	0.5667808219178082	0.6703797468354431	0.4332191780821918	1500605.75	3.6165423011880193E-7
barchart	0.7675814751286449	0.7662671232876712	0.7669237360754071	0.23373287671232879	4.25144576E8	6.498207767435815E-7
hpcwire	0.823463687150838	0.6309931506849316	0.7144934561318468	0.36900684931506844	1330660.125	1.8222735889139585E-6
stocktwits	0.28378378378378377	0.07191780821917808	0.11475409836065571	0.928082191780822	NaN	NaN
tickerspy	0.7998129092609916	0.7320205479452054	0.7644166294143941	0.26797945205479456	3.90366176E8	9.234343565367453E-7
investopedia	0.6868686868686869	0.2910958904109589	0.40889957907396274	0.7089041095890412	NaN	NaN
thestree	0.9508379888268157	0.728595890410959	0.8250121182743578	0.27140410958904104	2.33386128E8	2.6520906430960167E-6
finviz	0.5191780821917809	0.324486301369863	0.3993677555321391	0.675513698630137	3.11860096E8	3.4118334042432252E-6
renewable-energy-world	0.823463687150838	0.6309931506849316	0.7144934561318468	0.36900684931506844	1331075.0	1.9095602965535363E-6
stocksmart	0.0025188916876574307	8.561643835616438E-4	0.0012779552715654952	0.9991438356164384	6548226.0	5.477026832068077E-8
advfn	0.8030560271646859	0.4049657534246575	0.5384177575412635	0.5950342465753424	11792.5048828125	1.058381258189911E-6
updown	0.855	0.7320205479452054	0.7887453874538745	0.26797945205479456	2.45297152E11	7.277125178006827E-7
finapps-forbes-com	0.7660311958405546	0.7568493150684932	0.7614125753660638	0.24315068493150682	1.95443728E8	3.1868404448687215E-7
foxbusiness	0.9664429530201343	0.2465753424657534	0.39290586630286495	0.7534246575342466	225621.046875	1.0444971110246115E-7
ycharts-com	0.46749654218533887	0.2893835616438356	0.35748281332628234	0.7106164383561644	8.56444544E8	4.374300574538914E-11
nasdaq-com	1.0	1.0	1.0	0.0	0.0	NaN
boston-com	0.823463687150838	0.6309931506849316	0.7144934561318468	0.36900684931506844	1330713.625	1.8344356931265793E-6
bostonmerchant	0.823463687150838	0.6309931506849316	0.7144934561318468	0.36900684931506844	1330723.625	1.836849378378247E-6
fool	0.7054409005628518	0.6438356164383562	0.6732318710832588	0.3561643835616438	4.56851744E8	3.234568168863916E-7
insidestocks	0.7848837209302325	0.4623287671232877	0.5818965517241379	0.5376712328767124	860996.375	5.881640845473157E-7
marketwatch	0.7035745422842197	0.6909246575342466	0.6971922246220302	0.3090753424657534	4.91689888E8	2.636772933328757E-8
zacks	NaN	0.0	NaN	1.0	NaN	NaN
