Source	Precision	Recall	Fmeasure	ErrorRate	MAD	MNAD
finance-abc7chicago-com	0.7670011148272018	0.5870307167235495	0.6650555824069598	0.41296928327645055	1363108.375	9.556865734339226E-7
stockpickr	0.8682559598494354	0.590443686006826	0.7028948704926358	0.40955631399317405	6756.5087890625	2.9278520742082037E-5
smartmoney	0.8382804503582395	0.6988054607508533	0.7622149837133549	0.30119453924914674	1.4510189568E10	5.874014732398791E-7
minyanville	0.7670011148272018	0.5870307167235495	0.6650555824069598	0.41296928327645055	1362880.5	9.27705343656271E-7
raymond-james	0.5866177818515124	0.5460750853242321	0.5656208572691118	0.4539249146757679	43088.328125	6.595499257855408E-7
finance-abc7-com	0.7670011148272018	0.5870307167235495	0.6650555824069598	0.41296928327645055	1363108.375	9.556865734339226E-7
google-finance	0.6925233644859813	0.6322525597269625	0.6610169491525424	0.3677474402730375	3.88732832E8	4.6855123514433217E-7
marketintellisearch	0.5822510822510822	0.4590443686006826	0.5133587786259541	0.5409556313993173	3.92011872E8	1.8367821894571534E-6
msn-money	0.8068376068376069	0.8054607508532423	0.8061485909479077	0.1945392491467577	4.32663648E8	4.7073339715097973E-7
paidcontent	0.7647714604236343	0.5853242320819113	0.6631222812953118	0.4146757679180887	1363032.75	9.423563938071311E-7
thecramerreport	0.002109704641350211	8.532423208191126E-4	0.001215066828675577	0.9991467576791809	2898857.25	1.0340270506503657E-7
cio-com	0.8052930056710775	0.726962457337884	0.7641255605381166	0.273037542662116	1.4090584E8	5.804033662570873E-7
investorguide	0.6832993890020367	0.5725255972696246	0.6230269266480966	0.4274744027303754	1.958527488E9	1.698879925626784E-11
simple-stock-quotes	0.5905511811023622	0.19197952218430034	0.2897617514488087	0.8080204778156996	NaN	NaN
streetinsider-com	0.6985157699443414	0.6424914675767918	0.6693333333333332	0.35750853242320824	57549.05859375	3.036567704839399E-6
eresearch-fidelity-com	0.8216619981325863	0.7508532423208191	0.7846633972358449	0.24914675767918093	2.86531488E8	2.449958813599551E-8
bloomberg	0.6621359223300971	0.5819112627986348	0.6194368755676657	0.4180887372013652	3.19415648E8	5.367653557186713E-7
tmx-quotemedia	0.7914529914529914	0.7901023890784983	0.7907771135781383	0.20989761092150172	2.72402752E8	1.0814734423547634E-6
financial-content	0.7670011148272018	0.5870307167235495	0.6650555824069598	0.41296928327645055	1363119.875	9.571886039339006E-7
yahoo-finance	0.705982905982906	0.7047781569965871	0.7053800170794193	0.2952218430034129	4.60872416E8	6.221651460691646E-7
scroli	0.7206427688504327	0.4974402730375427	0.5885916203937405	0.5025597269624573	1545012.375	1.9483142921217222E-7
