Source	Precision	Recall	Fmeasure	ErrorRate	MAD	MNAD
finance-abc7chicago-com	0.8227990970654627	0.6311688311688312	0.7143557079862811	0.36883116883116884	1333393.5	6.052991352589743E-7
stockpickr	0.9364675984752223	0.638095238095238	0.7590113285272915	0.36190476190476195	8014.6162109375	1.0414026291982736E-5
smartmoney	0.8930084745762712	0.7298701298701299	0.8032396379228205	0.2701298701298701	1.4294633472E10	4.083905480456451E-7
minyanville	0.8205417607223476	0.6294372294372295	0.7123958843704067	0.37056277056277054	1334166.25	6.446441034313466E-7
raymond-james	0.6001855287569573	0.5601731601731602	0.5794894760412003	0.4398268398268398	62157.03125	6.705612918267434E-7
finance-abc7-com	0.8227990970654627	0.6311688311688312	0.7143557079862811	0.36883116883116884	1333412.625	6.064163358132646E-7
google-finance	0.7504743833017078	0.6848484848484848	0.7161611588954278	0.3151515151515152	3.64285984E8	3.175922529408126E-7
marketintellisearch	0.6004756242568371	0.43722943722943725	0.5060120240480962	0.5627705627705628	3.8450528E8	1.7153633962152526E-6
msn-money	0.8577623590633131	0.8562770562770563	0.8570190641247833	0.1437229437229437	4.17060608E8	3.187758750300418E-7
paidcontent	0.8227990970654627	0.6311688311688312	0.7143557079862811	0.36883116883116884	1333361.25	6.032880719430977E-7
thecramerreport	0.7388535031847133	0.3012987012987013	0.4280442804428044	0.6987012987012987	622274.125	1.4216658428267692E-7
cio-com	0.8608445297504799	0.7766233766233767	0.8165680473372783	0.22337662337662334	1.11705384E8	3.953184375404817E-7
investorguide	0.496045197740113	0.3800865800865801	0.4303921568627451	0.61991341991342	8.4830176E8	4.438355932778748E-11
simple-stock-quotes	0.7474226804123711	0.2510822510822511	0.3758911211924822	0.748917748917749	NaN	NaN
streetinsider-com	0.8084507042253521	0.7454545454545455	0.7756756756756757	0.2545454545454545	80381.578125	1.6640434523651493E-6
eresearch-fidelity-com	0.8492890995260663	0.7757575757575758	0.8108597285067873	0.22424242424242424	2.6613872E8	2.863283725673682E-7
bloomberg	0.6505905511811023	0.5722943722943723	0.6089359742054353	0.4277056277056277	2.904264E8	6.435718660213752E-7
tmx-quotemedia	0.784908933217693	0.7835497835497836	0.7842287694974003	0.21645021645021645	2.44485296E8	4.709569623173593E-7
financial-content	0.8227990970654627	0.6311688311688312	0.7143557079862811	0.36883116883116884	1333393.5	6.052991352589743E-7
yahoo-finance	0.7583187390542907	0.7497835497835498	0.7540269917283413	0.2502164502164502	4.24078528E8	4.485828810629755E-7
scroli	0.8291457286432161	0.5714285714285714	0.6765761148129164	0.4285714285714286	1855127.125	2.736309454576258E-7
barchart	0.751084128360798	0.7497835497835498	0.7504332755632582	0.2502164502164502	4.08668352E8	2.3903950818748854E-7
hpcwire	0.8227990970654627	0.6311688311688312	0.7143557079862811	0.36883116883116884	1333213.875	5.94115306284948E-7
stocktwits	0.3993174061433447	0.1012987012987013	0.16160220994475138	0.8987012987012987	NaN	NaN
tickerspy	0.8136234626300851	0.7445887445887446	0.7775768535262205	0.2554112554112554	4.9278768E8	6.782815376027429E-7
investopedia	0.5655737704918032	0.23896103896103896	0.3359707851491175	0.7610389610389611	NaN	NaN
thestree	0.9379232505643341	0.7194805194805195	0.8143067123958844	0.2805194805194805	3.2835968E8	3.0625569706899114E-6
finviz	0.5207756232686981	0.3255411255411255	0.4006393180607352	0.6744588744588744	3.9828224E8	3.6229987472324865E-6
renewable-energy-world	0.8227990970654627	0.6311688311688312	0.7143557079862811	0.36883116883116884	1333363.0	6.033915838088433E-7
stocksmart	0.0	0.0	NaN	1.0	7927875.5	2.783828101371455E-8
advfn	0.7945670628183361	0.4051948051948052	0.536697247706422	0.5948051948051948	37819.453125	2.0363129351608222E-6
updown	0.8503538928210314	0.7281385281385281	0.7845149253731343	0.2718614718614719	4.2252886016E10	8.289516131299024E-7
finapps-forbes-com	0.7554776511831727	0.7463203463203463	0.7508710801393728	0.2536796536796537	1.91568736E8	2.7729311113944277E-7
foxbusiness	0.9694915254237289	0.24761904761904763	0.3944827586206897	0.7523809523809524	71054.6484375	2.5554313651809935E-6
ycharts-com	0.46573426573426574	0.2883116883116883	0.35614973262032085	0.7116883116883117	8.2797056E8	5.000836550417276E-11
nasdaq-com	1.0	1.0	1.0	0.0	0.0	NaN
boston-com	0.8227990970654627	0.6311688311688312	0.7143557079862811	0.36883116883116884	1343625.5	1.072559030035336E-6
bostonmerchant	0.8227990970654627	0.6311688311688312	0.7143557079862811	0.36883116883116884	1343626.0	1.0725896117946832E-6
fool	0.6850094876660342	0.6251082251082251	0.653689452240833	0.37489177489177494	4.4662864E8	1.5457777635674574E-7
insidestocks	0.7562408223201175	0.4458874458874459	0.5610021786492375	0.5541125541125541	918089.0625	4.192796723145875E-7
marketwatch	0.6810193321616872	0.670995670995671	0.6759703445268209	0.32900432900432897	7.65539584E8	1.4120521640847983E-8
zacks	0.7262277951933125	0.6017316017316018	0.6581439393939396	0.3982683982683982	4.32944E8	1.4048340268857373E-8
screamingmedia	0.7122232916265641	0.6406926406926406	0.674567000911577	0.35930735930735935	7.6422752E8	1.4119365232545533E-8
stocknod	0.8227990970654627	0.6311688311688312	0.7143557079862811	0.36883116883116884	1333235.25	5.954947823738621E-7
