Source	Precision	Recall	Fmeasure	ErrorRate	MAD	MNAD
finance-abc7chicago-com	0.7997775305895439	0.613481228668942	0.6943505552873008	0.38651877133105805	1761463.625	NaN
stockpickr	0.904881101376721	0.6168941979522184	0.7336377473363775	0.38310580204778155	2168.797119140625	9.552172850817442E-4
smartmoney	0.8409818569903948	0.6723549488054608	0.7472735893788526	0.32764505119453924	1.3977877504E10	NaN
minyanville	0.7997775305895439	0.613481228668942	0.6943505552873008	0.38651877133105805	1761463.625	NaN
raymond-james	0.5718206770356816	0.5332764505119454	0.5518763796909493	0.4667235494880546	0.0	NaN
finance-abc7-com	0.7997775305895439	0.613481228668942	0.6943505552873008	0.38651877133105805	1761463.625	NaN
google-finance	0.7345794392523365	0.6706484641638225	0.7011596788581623	0.3293515358361775	3.696344E8	3.1820894218981266E-4
marketintellisearch	0.7139784946236559	0.5665529010238908	0.631779257849667	0.4334470989761092	3.30488928E8	8.253677208358567E-8
msn-money	0.8145299145299145	0.8131399317406144	0.8138343296327926	0.18686006825938561	3.4237504E8	3.1820894218981266E-4
paidcontent	0.7997775305895439	0.613481228668942	0.6943505552873008	0.38651877133105805	1761463.625	NaN
thecramerreport	0.8617234468937875	0.36689419795221845	0.5146618791143028	0.6331058020477816	0.0	NaN
cio-com	0.8374291115311909	0.7559726962457338	0.7946188340807175	0.24402730375426618	1.40665104E8	NaN
investorguide	0.693089430894309	0.5819112627986348	0.6326530612244897	0.4180887372013652	9.34061248E8	4.789934421323139E-11
simple-stock-quotes	0.7424242424242424	0.2508532423208191	0.37499999999999994	0.7491467576791808	NaN	NaN
streetinsider-com	0.8538390379278445	0.787542662116041	0.8193519751442521	0.21245733788395904	0.0	NaN
eresearch-fidelity-com	0.8664799253034547	0.7918088737201365	0.8274632189032547	0.20819112627986347	1.809964E8	NaN
bloomberg	0.635305528612997	0.5588737201365188	0.5946436677258286	0.4411262798634812	4.3852576E8	1.656454884368941E-8
tmx-quotemedia	0.7649572649572649	0.7636518771331058	0.7643040136635354	0.23634812286689422	2.43158352E8	NaN
financial-content	0.7997775305895439	0.613481228668942	0.6943505552873008	0.38651877133105805	1761463.625	NaN
yahoo-finance	0.7299145299145299	0.7286689419795221	0.7292912040990606	0.27133105802047786	4.62632864E8	NaN
scroli	0.8039457459926017	0.5563139931740614	0.6575895108421583	0.4436860068259386	836315.25	1.8156659109536122E-7
barchart	0.7658119658119659	0.764505119453925	0.7651579846285226	0.23549488054607504	4.32420832E8	1.7474621927249245E-7
hpcwire	0.7997775305895439	0.613481228668942	0.6943505552873008	0.38651877133105805	1761463.625	NaN
stocktwits	0.3566666666666667	0.09129692832764505	0.1453804347826087	0.908703071672355	NaN	NaN
tickerspy	0.5582479030754893	0.5110921501706485	0.5336302895322941	0.48890784982935154	3.86310976E8	NaN
investopedia	0.31438127090301005	0.08020477815699659	0.12780421481985044	0.9197952218430034	NaN	NaN
thestree	0.9087875417130145	0.697098976109215	0.7889908256880734	0.302901023890785	2.01633376E8	NaN
finviz	0.5765027322404371	0.36006825938566556	0.4432773109243697	0.6399317406143344	3.12707648E8	1.2080680278359068E-7
renewable-energy-world	0.7997775305895439	0.613481228668942	0.6943505552873008	0.38651877133105805	1761463.625	NaN
stocksmart	0.0016750418760469012	8.532423208191126E-4	0.0011305822498586771	0.9991467576791809	5193452.5	7.206121921399244E-8
advfn	0.330550918196995	0.1689419795221843	0.2236024844720497	0.8310580204778157	0.0	NaN
updown	0.30566037735849055	0.20733788395904437	0.24707676664972042	0.7926621160409556	2.45385822208E11	2.150295408398506E-8
finapps-forbes-com	0.770293609671848	0.7610921501706485	0.7656652360515022	0.23890784982935154	2.08103792E8	NaN
foxbusiness	0.9466666666666667	0.24232081911262798	0.3858695652173913	0.757679180887372	0.0	NaN
ycharts-com	0.7221458046767538	0.44795221843003413	0.5529225908372828	0.5520477815699658	8.72029696E8	5.378271439315796E-11
nasdaq-com	1.0	1.0	1.0	0.0	0.0	NaN
boston-com	0.7997775305895439	0.613481228668942	0.6943505552873008	0.38651877133105805	1761463.625	NaN
bostonmerchant	0.7997775305895439	0.613481228668942	0.6943505552873008	0.38651877133105805	1761463.625	NaN
fool	0.5700934579439252	0.5204778156996587	0.5441570026761818	0.4795221843003413	4.30270464E8	1.865564627223648E-7
insidestocks	0.7808764940239044	0.33447098976109213	0.4683393070489845	0.6655290102389079	400.6199951171875	2.523478542570956E-5
marketwatch	0.6646394439617723	0.6527303754266212	0.6586310804993543	0.34726962457337884	5.4192896E8	3.672190729275826E-8
zacks	0.757201646090535	0.6279863481228669	0.6865671641791045	0.3720136518771331	2.98659232E8	3.22355049320322E-8
screamingmedia	0.7040913415794482	0.6313993174061433	0.6657669815564552	0.3686006825938567	5.42678976E8	3.672196413617712E-8
stocknod	0.7997775305895439	0.613481228668942	0.6943505552873008	0.38651877133105805	1761463.625	NaN
howthemarketworks	0.8540772532188842	0.5093856655290102	0.638161411010155	0.4906143344709898	0.0	NaN
pc-quote	0.7992164544564153	0.6962457337883959	0.744186046511628	0.30375426621160406	1.47767616E8	1.704104590771749E-7
chron	0.7997775305895439	0.613481228668942	0.6943505552873008	0.38651877133105805	1761463.625	NaN
optimum	0.7890699904122723	0.7022184300341296	0.7431151241534989	0.29778156996587035	8.0288632E7	NaN
business-insider	0.7997775305895439	0.613481228668942	0.6943505552873008	0.38651877133105805	1761463.625	NaN
wallstreetsurvivor	0.6654170571696345	0.60580204778157	0.6342117016525234	0.39419795221843	2.16638624E8	NaN
barrons	0.8694362017804155	0.5	0.6348862405200434	0.5	3.75394112E8	0.0030032985378056765
predictwallstreet	0.9533333333333334	0.2440273037542662	0.38858695652173914	0.7559726962457338	0.0	NaN
easystockalterts	0.816836262719704	0.7534129692832765	0.7838437638703951	0.2465870307167235	0.0	NaN
cnn-money	0.6602739726027397	0.4112627986348123	0.5068349106203995	0.5887372013651877	1.26016696E8	NaN
personal-wealth-biz	0.653953488372093	0.5998293515358362	0.62572318647085	0.40017064846416384	0.0	NaN
