Source	Precision	Recall	Fmeasure	ErrorRate	MAD	MNAD
finance-abc7chicago-com	0.782608695652174	0.6	0.6792452830188679	0.4	1760964.625	7.388680387521163E-7
stockpickr	0.9146800501882058	0.6230769230769231	0.7412302999491611	0.3769230769230769	5888.5498046875	3.4823184250853956E-5
smartmoney	0.8779979144942649	0.7196581196581197	0.7909816815406293	0.28034188034188035	1.4286534656E10	3.161520965022646E-7
minyanville	0.782608695652174	0.6	0.6792452830188679	0.4	1761029.75	7.415077334371745E-7
raymond-james	0.5765352887259395	0.5376068376068376	0.556390977443609	0.4623931623931624	89590.7109375	6.709306603625009E-7
finance-abc7-com	0.782608695652174	0.6	0.6792452830188679	0.4	1760965.25	7.388892981907702E-7
google-finance	0.7340823970037453	0.67008547008547	0.7006255585344058	0.32991452991452996	3.74329472E8	2.408846739854198E-7
marketintellisearch	0.6185344827586207	0.4905982905982906	0.5471877979027645	0.5094017094017094	3.65906336E8	1.0240771644021152E-6
msn-money	0.8501712328767124	0.8487179487179487	0.8494439692044483	0.1512820512820513	3.93234144E8	2.408847876722575E-7
paidcontent	0.782608695652174	0.6	0.6792452830188679	0.4	1760986.75	7.397684953502903E-7
thecramerreport	0.539906103286385	0.19658119658119658	0.2882205513784461	0.8034188034188035	1946670.625	1.026323133146434E-7
cio-com	0.8267045454545454	0.7461538461538462	0.784366576819407	0.25384615384615383	1.45362672E8	5.140634016242984E-7
investorguide	0.5149330587023687	0.42735042735042733	0.4670714619336759	0.5726495726495726	9.62290496E8	4.7175176959290965E-11
simple-stock-quotes	0.7567567567567568	0.23931623931623933	0.36363636363636365	0.7606837606837606	NaN	NaN
streetinsider-com	0.7933271547729379	0.7316239316239316	0.7612272120942641	0.2683760683760684	64640.390625	4.240370344632538E-6
eresearch-fidelity-com	0.8520599250936329	0.7777777777777778	0.8132260947274352	0.2222222222222222	2.3629112E8	3.3329479265375994E-7
bloomberg	0.6287657920310982	0.552991452991453	0.5884492951341519	0.447008547008547	2.97747904E8	3.27089423990401E-7
tmx-quotemedia	0.7688356164383562	0.7675213675213676	0.7681779298545767	0.23247863247863243	2.47390128E8	7.323670843106811E-7
financial-content	0.7803790412486065	0.5982905982905983	0.6773101112723755	0.4017094017094017	1761882.125	7.602001801387814E-7
yahoo-finance	0.7514995715509855	0.7495726495726496	0.7505348737697902	0.2504273504273504	4.6873568E8	3.190790494045359E-7
scroli	0.8022249690976514	0.5547008547008547	0.6558868115209702	0.44529914529914527	1537969.5	2.5536283487781475E-7
barchart	0.7303082191780822	0.729059829059829	0.7296834901625321	0.270940170940171	4.37855136E8	3.508731367674045E-7
hpcwire	0.782608695652174	0.6	0.6792452830188679	0.4	1759810.125	6.941499464119261E-7
stocktwits	0.28859060402684567	0.0735042735042735	0.11716621253405995	0.9264957264957265	NaN	NaN
tickerspy	0.803921568627451	0.735897435897436	0.7684069611780455	0.26410256410256405	4.4493744E8	1.3897551980335265E-5
investopedia	0.7203219315895373	0.305982905982906	0.42951409718056394	0.694017094017094	NaN	NaN
thestree	0.9219620958751393	0.7068376068376069	0.8001935171746494	0.2931623931623931	1.54803296E8	9.682617928774562E-6
finviz	0.5102599179206566	0.3188034188034188	0.3924250394529195	0.6811965811965812	3.63903264E8	2.589064251878881E-7
renewable-energy-world	0.782608695652174	0.6	0.6792452830188679	0.4	1760963.875	7.388261451524158E-7
stocksmart	0.0016806722689075631	8.547008547008547E-4	0.00113314447592068	0.9991452991452991	4666587.0	1.11014401227294E-7
advfn	0.7922948073701842	0.4042735042735043	0.5353706847764572	0.5957264957264957	17844.140625	7.00808243436768E-7
updown	0.7579439252336448	0.6931623931623931	0.7241071428571428	0.30683760683760686	2.47905173504E11	3.9843035892772605E-7
finapps-forbes-com	0.7301038062283737	0.7213675213675214	0.7257093723129836	0.27863247863247864	2.15776896E8	2.1117315895935462E-7
foxbusiness	0.9364548494983278	0.23931623931623933	0.381211708645337	0.7606837606837606	88926.1015625	2.272109213663498E-6
ycharts-com	0.46206896551724136	0.2863247863247863	0.3535620052770449	0.7136752136752137	8.90580224E8	5.3393567345239035E-11
nasdaq-com	1.0	1.0	1.0	0.0	0.0	NaN
boston-com	0.782608695652174	0.6	0.6792452830188679	0.4	1760176.5	7.084178719196643E-7
bostonmerchant	0.782608695652174	0.6	0.6792452830188679	0.4	1760137.75	7.067794172144204E-7
fool	0.704119850187266	0.6427350427350428	0.6720285969615729	0.3572649572649572	4.4253648E8	2.0036078751672903E-7
insidestocks	0.8202898550724638	0.48376068376068376	0.6086021505376344	0.5162393162393162	412443.625	6.700705057482992E-7
