Source	Precision	Recall	Fmeasure	ErrorRate	MAD	MNAD
finance-abc7chicago-com	0.8212290502793296	0.6282051282051282	0.7118644067796611	0.3717948717948718	1468120.125	5.951729917796911E-7
stockpickr	0.9270440251572327	0.6299145299145299	0.7501272264631044	0.3700854700854701	16928.650390625	1.1307462955301162E-5
smartmoney	0.881675392670157	0.7196581196581197	0.7924705882352941	0.28034188034188035	1.453720064E10	4.837044116356992E-7
minyanville	0.8212290502793296	0.6282051282051282	0.7118644067796611	0.3717948717948718	1468163.25	5.968036589365511E-7
raymond-james	0.5950413223140496	0.5538461538461539	0.5737051792828686	0.4461538461538461	96693.7421875	2.8580089406204934E-7
finance-abc7-com	0.8212290502793296	0.6282051282051282	0.7118644067796611	0.3717948717948718	1468141.75	5.959965960755653E-7
google-finance	0.7200374531835206	0.6572649572649573	0.6872207327971404	0.34273504273504274	4.1400784E8	3.503905077195668E-7
marketintellisearch	0.5242718446601942	0.4153846153846154	0.463519313304721	0.5846153846153845	3.79595744E8	1.915460359214194E-7
msn-money	0.8407534246575342	0.8393162393162393	0.8400342172797263	0.16068376068376067	4.24125216E8	3.610025487432722E-7
paidcontent	0.8212290502793296	0.6282051282051282	0.7118644067796611	0.3717948717948718	1468141.75	5.959965960755653E-7
thecramerreport	0.8752515090543259	0.3717948717948718	0.521895620875825	0.6282051282051282	21683.669921875	9.761841965882923E-7
cio-com	0.8475378787878788	0.7649572649572649	0.8041329739442946	0.2350427350427351	1.49798224E8	3.753913802029274E-7
investorguide	0.7370600414078675	0.6085470085470085	0.6666666666666666	0.3914529914529915	9.4291296E8	3.843042897799798E-11
simple-stock-quotes	0.7270408163265306	0.24358974358974358	0.3649167733674776	0.7564102564102564	NaN	NaN
streetinsider-com	0.7827298050139275	0.7205128205128205	0.7503337783711617	0.2794871794871795	36188.51953125	5.382316430768697E-6
eresearch-fidelity-com	0.8194574368568756	0.7487179487179487	0.7824921840107191	0.2512820512820513	2.87641664E8	2.8241377236781773E-8
bloomberg	0.6595330739299611	0.5794871794871795	0.6169244767970883	0.42051282051282046	3.27814144E8	4.149124492869305E-7
tmx-quotemedia	0.7833904109589042	0.782051282051282	0.7827202737382378	0.21794871794871795	2.79200544E8	5.592204388449318E-7
financial-content	0.8212290502793296	0.6282051282051282	0.7118644067796611	0.3717948717948718	1468865.125	6.238775540623465E-7
yahoo-finance	0.7428571428571429	0.7333333333333333	0.7380645161290322	0.2666666666666667	4.7248816E8	3.670251089715748E-7
scroli	0.7849196538936959	0.5427350427350427	0.6417382516422435	0.4572649572649573	1766487.375	1.901351538435847E-7
barchart	0.7217465753424658	0.7205128205128205	0.7211291702309666	0.2794871794871795	4.43772448E8	4.685934982262552E-7
hpcwire	0.8212290502793296	0.6282051282051282	0.7118644067796611	0.3717948717948718	1467183.25	5.543266752283671E-7
stocktwits	0.18243243243243243	0.046153846153846156	0.07366984993178718	0.9538461538461538	NaN	NaN
tickerspy	0.7973856209150327	0.7299145299145299	0.7621597501115575	0.2700854700854701	5.04815648E8	4.014902515336871E-6
investopedia	0.5437881873727087	0.2282051282051282	0.3214930764599639	0.7717948717948718	NaN	NaN
thestree	0.924022346368715	0.7068376068376069	0.8009685230024214	0.2931623931623931	2.12753744E8	4.216965123760019E-7
finviz	0.5006839945280438	0.3128205128205128	0.38506049447659124	0.6871794871794872	3.77122112E8	1.789060547707777E-6
renewable-energy-world	0.8216704288939052	0.6222222222222222	0.708171206225681	0.37777777777777777	1482792.875	5.88916634569614E-7
stocksmart	0.005037783375314861	0.0017094017094017094	0.0025526483726866626	0.9982905982905983	6248983.5	6.751361070200801E-8
advfn	0.8033613445378152	0.40854700854700854	0.541643059490085	0.5914529914529915	22159.490234375	9.946622867573751E-7
updown	0.7762172284644194	0.7085470085470086	0.7408400357462019	0.2914529914529914	2.451935232E11	5.34493665327318E-7
finapps-forbes-com	0.7413494809688581	0.7324786324786324	0.7368873602751503	0.26752136752136757	2.2214392E8	3.5087450100945716E-7
foxbusiness	0.9261744966442953	0.2358974358974359	0.37602179836512256	0.764102564102564	46774.0	1.6123817658808548E-6
ycharts-com	0.44060773480662985	0.2726495726495726	0.3368532206969377	0.7273504273504274	8.6592416E8	3.973610329666144E-11
nasdaq-com	1.0	1.0	1.0	0.0	0.0	NaN
