Source	Precision	Recall	Fmeasure	ErrorRate	MAD	MNAD
finance-abc7chicago-com	0.7975528364849833	0.6117747440273038	0.6924191211974892	0.3882252559726962	1769766.125	7.447763437085086E-7
stockpickr	0.9261576971214017	0.6313993174061433	0.7508878741755454	0.3686006825938567	19279.76171875	1.9576120394049212E-5
smartmoney	0.8833162743091095	0.7363481228668942	0.80316426244765	0.2636518771331058	1.4422413312E10	6.159753525025735E-7
minyanville	0.7975528364849833	0.6117747440273038	0.6924191211974892	0.3882252559726962	1770144.125	7.616924335707154E-7
raymond-james	0.6816102470265325	0.6356655290102389	0.6578366445916115	0.36433447098976113	91860.3515625	6.288742042670492E-7
finance-abc7-com	0.7975528364849833	0.6117747440273038	0.6924191211974892	0.3882252559726962	1770190.375	7.64137951136945E-7
google-finance	0.7299065420560747	0.6663822525597269	0.6966993755575378	0.33361774744027306	3.77464928E8	5.245876195658639E-7
marketintellisearch	0.6397849462365591	0.507679180887372	0.566127497621313	0.49232081911262804	4.20290368E8	7.675093911529984E-7
msn-money	0.8547008547008547	0.8532423208191127	0.8539709649871904	0.14675767918088733	4.4987712E8	4.2931284838232386E-7
paidcontent	0.7975528364849833	0.6117747440273038	0.6924191211974892	0.3882252559726962	1769613.125	7.372543109340768E-7
thecramerreport	0.6993736951983298	0.2858361774744027	0.40581465778316167	0.7141638225255973	2188875.75	3.6884792109503906E-8
cio-com	0.831758034026465	0.7508532423208191	0.7892376681614348	0.24914675767918093	1.5168832E8	4.326661837694701E-7
investorguide	0.6507128309572301	0.5452218430034129	0.5933147632311977	0.4547781569965871	8.79981632E8	4.3363822949116226E-11
simple-stock-quotes	0.7426273458445041	0.2363481228668942	0.3585760517799353	0.7636518771331058	NaN	NaN
streetinsider-com	0.8112858464384829	0.7482935153583617	0.7785175321793164	0.25170648464163825	37626.05078125	4.696244559454499E-6
eresearch-fidelity-com	0.8394024276377218	0.7670648464163823	0.8016049933125279	0.23293515358361772	3.02072064E8	3.6693316474156745E-7
bloomberg	0.6372453928225025	0.560580204778157	0.5964593735814797	0.43941979522184305	2.99503296E8	1.3702043943908393E-8
tmx-quotemedia	0.7777777777777778	0.7764505119453925	0.7771135781383434	0.2235494880546075	2.49920528E8	5.062159402768884E-7
financial-content	0.7975528364849833	0.6117747440273038	0.6924191211974892	0.3882252559726962	1769764.125	7.446759013873816E-7
yahoo-finance	0.740582191780822	0.7380546075085325	0.7393162393162392	0.26194539249146753	4.35839456E8	4.2869990579674777E-7
scroli	0.7977805178791615	0.5520477815699659	0.6525466464952093	0.4479522184300341	1906550.75	1.6750308873270114E-7
barchart	0.7239316239316239	0.7226962457337884	0.7233134073441502	0.27730375426621157	4.16880736E8	5.874155135643377E-7
hpcwire	0.7975528364849833	0.6117747440273038	0.6924191211974892	0.3882252559726962	1768450.5	6.813315849285573E-7
stocktwits	0.27	0.06911262798634812	0.11005434782608696	0.9308873720136519	NaN	NaN
tickerspy	0.7837837837837838	0.7175767918088737	0.7492204899777283	0.2824232081911263	5.4350912E8	7.997371653800656E-7
investopedia	0.7034068136272545	0.29948805460750855	0.4201077199281867	0.7005119453924915	NaN	NaN
thestree	0.9310344827586207	0.7141638225255973	0.8083051665861901	0.2858361774744027	2.60378928E8	7.370122148131486E-6
finviz	0.6721311475409836	0.4197952218430034	0.5168067226890756	0.5802047781569966	4.18097664E8	5.311727591106319E-7
renewable-energy-world	0.7975528364849833	0.6117747440273038	0.6924191211974892	0.3882252559726962	1769079.25	7.130383323783462E-7
stocksmart	0.0016750418760469012	8.532423208191126E-4	0.0011305822498586771	0.9991467576791809	6357940.5	6.275544706113578E-8
advfn	0.7779632721202003	0.39761092150170646	0.5262563523433088	0.6023890784982935	17420.69921875	9.25210542845889E-7
updown	0.8502512562814071	0.7218430034129693	0.7808029533917858	0.27815699658703075	2.47477796864E11	6.94145057877904E-7
finapps-forbes-com	0.7512953367875648	0.742320819112628	0.7467811158798283	0.25767918088737196	2.13836784E8	4.056778095673508E-7
foxbusiness	0.9633333333333334	0.24658703071672355	0.3926630434782609	0.7534129692832765	55389.8515625	6.128690301920869E-7
ycharts-com	0.437414030261348	0.2713310580204778	0.334913112164297	0.7286689419795223	8.42455488E8	4.860227151293195E-11
nasdaq-com	1.0	1.0	1.0	0.0	0.0	NaN
boston-com	0.7975528364849833	0.6117747440273038	0.6924191211974892	0.3882252559726962	1766729.125	6.108041361585492E-7
bostonmerchant	0.7975528364849833	0.6117747440273038	0.6924191211974892	0.3882252559726962	1766725.0	6.105913712417532E-7
fool	0.6766355140186916	0.6177474402730375	0.6458519179304192	0.3822525597269625	4.46964896E8	1.892981345008593E-7
insidestocks	0.8092485549132948	0.4778156996587031	0.6008583690987125	0.5221843003412969	506313.4375	1.5143160680963774E-6
marketwatch	0.6503923278116827	0.636518771331058	0.6433807675722294	0.36348122866894195	6.51773632E8	2.8623514225500912E-8
zacks	0.7016460905349794	0.5819112627986348	0.6361940298507462	0.4180887372013652	4.7968256E8	2.8610891433800134E-8
screamingmedia	0.6701620591039085	0.5998293515358362	0.6330481764970735	0.40017064846416384	6.5152352E8	2.862209846909991E-8
stocknod	0.7975528364849833	0.6117747440273038	0.6924191211974892	0.3882252559726962	1769734.875	7.431597168761073E-7
howthemarketworks	0.8326180257510729	0.49658703071672355	0.6221272047033671	0.5034129692832765	29096.01953125	1.4347435808303999E-6
pc-quote	0.7894736842105263	0.6655290102389079	0.7222222222222222	0.33447098976109213	4.14380416E8	6.786595463381673E-8
chron	0.7975528364849833	0.6117747440273038	0.6924191211974892	0.3882252559726962	1767812.375	6.489166821666004E-7
optimum	0.6836049856184084	0.6083617747440273	0.6437923250564335	0.3916382252559727	8.3548288E7	1.0135087791240949E-7
business-insider	0.7975528364849833	0.6117747440273038	0.6924191211974892	0.3882252559726962	1766725.0	6.105913712417532E-7
wallstreetsurvivor	0.6616682286785379	0.6023890784982935	0.6306386779812416	0.3976109215017065	3.64840352E8	8.575929655307846E-7
barrons	0.8353115727002968	0.4803754266211604	0.609967497291441	0.5196245733788396	4.51512352E8	7.003559403528925E-7
predictwallstreet	0.46	0.11774744027303755	0.1875	0.8822525597269625	1798333.875	9.86691830462405E-8
cnn-money	0.7671052631578947	0.4974402730375427	0.6035196687370601	0.5025597269624573	1.28162088E8	8.402642492910672E-7
easystockalterts	0.7493061979648473	0.6911262798634812	0.7190412782956058	0.3088737201365188	41067.671875	4.928883299726294E-6
personal-wealth-biz	0.6533827618164968	0.6015358361774744	0.6263882718791649	0.3984641638225256	27678.109375	1.4559321925844415E-6
