Source	Precision	Recall	Fmeasure	ErrorRate	MAD	MNAD
finance-abc7chicago-com	0.8209121245828699	0.6286201022146508	0.7120115774240232	0.3713798977853492	1528032.5	4.994229811927653E-7
stockpickr	0.918648310387985	0.6252129471890971	0.744044602128738	0.37478705281090285	7312.35693359375	2.03695562959183E-5
smartmoney	0.8735632183908046	0.7120954003407155	0.7846081651806663	0.2879045996592845	1.4311921664E10	2.882616456645337E-7
minyanville	0.8209121245828699	0.6286201022146508	0.7120115774240232	0.3713798977853492	1527933.75	4.961708555129007E-7
raymond-james	0.5901189387008234	0.5494037478705281	0.569033965593295	0.45059625212947185	169557.21875	2.5485317678430874E-7
finance-abc7-com	0.8209121245828699	0.6286201022146508	0.7120115774240232	0.3713798977853492	1528045.625	4.9984538463832E-7
google-finance	0.6886792452830188	0.6218057921635435	0.6535362578334826	0.3781942078364565	3.68283744E8	2.458992298670637E-7
marketintellisearch	0.5961331901181526	0.4727427597955707	0.5273159144893111	0.5272572402044293	6.07753728E8	7.708672455919441E-7
msn-money	0.8323301805674979	0.8245315161839863	0.8284124946512622	0.17546848381601365	6.18636928E8	2.1018762197400065E-7
paidcontent	0.8209121245828699	0.6286201022146508	0.7120115774240232	0.3713798977853492	1527890.125	4.948082050759695E-7
thecramerreport	0.004008016032064128	0.0017035775127768314	0.002390914524805738	0.9982964224872232	3256528.25	1.2025979856389313E-7
cio-com	0.8424528301886792	0.7606473594548552	0.7994628469113697	0.23935264054514482	1.45817312E8	3.329006403873791E-7
investorguide	0.6826042726347915	0.5715502555366269	0.622160407974038	0.42844974446337314	9.2590592E8	3.9507692256579574E-11
simple-stock-quotes	0.6515151515151515	0.21976149914821125	0.32866242038216564	0.7802385008517887	NaN	NaN
streetinsider-com	0.755781683626272	0.6959114139693356	0.7246119733924612	0.30408858603066435	209119.15625	1.4628228939272958E-7
eresearch-fidelity-com	0.8191985088536813	0.7487223168654173	0.7823765020026703	0.25127768313458265	4.70720896E8	2.4927087949322413E-8
bloomberg	0.6560077519379846	0.5766609880749574	0.6137805983680871	0.42333901192504264	3.23378624E8	5.709122063990435E-8
tmx-quotemedia	0.7773037542662116	0.7759795570698467	0.7766410912190963	0.22402044293015333	2.72807584E8	4.926201313537604E-7
financial-content	0.8209121245828699	0.6286201022146508	0.7120115774240232	0.3713798977853492	1528026.5	4.992259619029937E-7
yahoo-finance	0.7218430034129693	0.7206132879045997	0.7212276214833759	0.27938671209540034	4.57610208E8	3.0365973202606256E-7
scroli	0.7422934648581998	0.5127768313458262	0.6065491183879093	0.4872231686541738	2519134.5	1.694799607321329E-7
barchart	0.6988054607508533	0.6976149914821125	0.6982097186700768	0.3023850085178875	4.34009248E8	4.5028940576230525E-8
hpcwire	0.8209121245828699	0.6286201022146508	0.7120115774240232	0.3713798977853492	1527738.75	4.90039724354574E-7
stocktwits	0.20666666666666667	0.05281090289608177	0.08412483039348712	0.9471890971039182	NaN	NaN
tickerspy	0.7925581395348837	0.7257240204429302	0.7576700755891509	0.27427597955706984	7.86035392E8	1.3488653394233552E-6
investopedia	0.5230460921843687	0.2223168654173765	0.31201434548714885	0.7776831345826235	NaN	NaN
thestree	0.9157303370786517	0.6942078364565588	0.7897286821705427	0.3057921635434412	3.27997184E8	5.49805372429546E-6
finviz	0.4392905866302865	0.27427597955706984	0.3377031987414788	0.7257240204429302	6.04608256E8	3.431441939483193E-7
renewable-energy-world	0.8209121245828699	0.6286201022146508	0.7120115774240232	0.3713798977853492	1527717.625	4.892427227787266E-7
stocksmart	0.0	0.0	NaN	1.0	8199433.5	5.656855250890658E-8
advfn	0.8013355592654424	0.4088586030664395	0.5414551607445008	0.5911413969335605	19059.279296875	6.02880390943028E-7
updown	0.7751865671641791	0.7078364565587735	0.7399821905609973	0.2921635434412265	2.45370109952E11	4.2366437469354423E-7
finapps-forbes-com	0.7405172413793103	0.731686541737649	0.7360754070265638	0.268313458262351	2.1423928E8	1.9113592486519337E-7
foxbusiness	0.9	0.22998296422487224	0.3663500678426052	0.7700170357751277	52769.1484375	1.4570819075743202E-6
ycharts-com	0.42445054945054944	0.2632027257240204	0.3249211356466877	0.7367972742759796	8.04458368E8	3.906162893141385E-11
nasdaq-com	1.0	1.0	1.0	0.0	0.0	NaN
boston-com	0.8209121245828699	0.6286201022146508	0.7120115774240232	0.3713798977853492	1527725.75	4.896095902040543E-7
bostonmerchant	0.8209121245828699	0.6286201022146508	0.7120115774240232	0.3713798977853492	1527706.875	4.889757292403374E-7
fool	0.6604477611940298	0.6030664395229983	0.6304541406945682	0.3969335604770017	4.71138144E8	5.3263871535591534E-8
insidestocks	0.7153179190751445	0.42163543441226575	0.5305466237942121	0.5783645655877343	3428363.0	1.0453565835177869E-7
marketwatch	0.6157167530224525	0.6073253833049403	0.6114922813036021	0.39267461669505965	8.07099584E8	2.5665674030506125E-8
zacks	0.7094455852156057	0.5885860306643952	0.6433891992551211	0.4114139693356048	7.23764352E8	2.578617497306368E-8
screamingmedia	NaN	0.0	NaN	1.0	NaN	NaN
stocknod	0.8209121245828699	0.6286201022146508	0.7120115774240232	0.3713798977853492	1527646.75	4.86929081944254E-7
howthemarketworks	0.8450074515648286	0.4829642248722317	0.6146341463414633	0.5170357751277683	30651.625	9.54564143285097E-7
pc-quote	0.7893175074183977	0.6797274275979557	0.7304347826086955	0.3202725724020443	3.77523168E8	4.1771553327407673E-8
chron	0.8209121245828699	0.6286201022146508	0.7120115774240232	0.3713798977853492	1528031.0	4.992533035874658E-7
optimum	0.7177033492822966	0.6388415672913118	0.67598017124831	0.3611584327086882	7.2890784E7	6.009837250076089E-8
business-insider	0.8209121245828699	0.6286201022146508	0.7120115774240232	0.3713798977853492	1527712.5	4.891589924227446E-7
wallstreetsurvivor	0.6878557874762808	0.6175468483816013	0.6508078994614003	0.38245315161839866	5.19619552E8	4.989262833987596E-7
barrons	0.723781388478582	0.41737649063032367	0.529443544030254	0.5826235093696763	5.51174784E8	6.458268444475834E-7
predictwallstreet	0.7866666666666666	0.2010221465076661	0.3202170963364993	0.798977853492334	1703261.25	3.2548786776942507E-8
cnn-money	0.7249683143219265	0.48722316865417375	0.5827814569536425	0.5127768313458263	1.1614324E8	4.855049269281153E-7
easystockalterts	0.7123034227567068	0.65587734241908	0.6829268292682926	0.34412265758092	205579.921875	1.4372695034126082E-7
personal-wealth-biz	0.6726495726495727	0.6703577512776832	0.6715017064846417	0.32964224872231684	55077.05859375	1.4868095377096324E-6
