Source	Precision	Recall	Fmeasure	ErrorRate	MAD	MNAD
finance-abc7chicago-com	0.8364849833147943	0.6416382252559727	0.7262192177691936	0.3583617747440273	1721598.125	7.758374636068766E-7
stockpickr	0.9486858573216521	0.6467576791808873	0.7691527143581939	0.35324232081911267	6066.04248046875	2.4737160856602713E-5
smartmoney	0.9028925619834711	0.7457337883959044	0.8168224299065421	0.25426621160409557	1.4252845056E10	5.530732209990674E-7
minyanville	0.8364849833147943	0.6416382252559727	0.7262192177691936	0.3583617747440273	1721598.125	7.758374636068766E-7
raymond-james	0.6111619396157365	0.5699658703071673	0.5898454746136864	0.4300341296928327	134743.265625	2.789923314594489E-7
finance-abc7-com	0.8364849833147943	0.6416382252559727	0.7262192177691936	0.3583617747440273	1721598.125	7.758374636068766E-7
google-finance	0.7532710280373832	0.6877133105802048	0.7190008920606601	0.3122866894197952	3.68078784E8	3.1400375632983923E-7
marketintellisearch	0.6043010752688172	0.47952218430034127	0.5347288296860133	0.5204778156996588	4.06595168E8	1.3583046438725432E-6
msn-money	0.8692307692307693	0.8677474402730375	0.8684884713919726	0.13225255972696248	4.18877728E8	3.1401106070916285E-7
paidcontent	0.8364849833147943	0.6416382252559727	0.7262192177691936	0.3583617747440273	1721582.5	7.749476367280295E-7
thecramerreport	0.7607361963190185	0.3174061433447099	0.44792293798916316	0.68259385665529	19224.55078125	1.952776528924005E-6
cio-com	0.8676748582230623	0.7832764505119454	0.8233183856502242	0.2167235494880546	1.40673072E8	5.164660592527071E-7
investorguide	0.6869918699186992	0.5767918088737202	0.62708719851577	0.42320819112627983	9.46579136E8	4.8548876724341383E-11
simple-stock-quotes	0.7272727272727273	0.24573378839590443	0.3673469387755102	0.7542662116040956	NaN	NaN
streetinsider-com	0.7927844588344126	0.7312286689419796	0.760763426542388	0.2687713310580204	151144.1875	3.837718054455763E-7
eresearch-fidelity-com	0.8608776844070962	0.7866894197952219	0.8221132411948284	0.2133105802047781	2.77950496E8	2.7806188995782577E-7
bloomberg	0.6614936954413191	0.5819112627986348	0.619155696777122	0.4180887372013652	2.93488576E8	2.630452513585624E-7
tmx-quotemedia	0.7965811965811965	0.7952218430034129	0.7959009393680615	0.20477815699658708	2.42746192E8	7.024647743492096E-7
financial-content	0.8364849833147943	0.6416382252559727	0.7262192177691936	0.3583617747440273	1721598.125	7.758374636068766E-7
yahoo-finance	0.7316239316239316	0.7303754266211604	0.7309991460290349	0.2696245733788396	4.68855936E8	4.376248625703738E-7
scroli	0.8212083847102343	0.568259385665529	0.6717095310136156	0.431740614334471	1876123.875	2.748919030182151E-7
barchart	0.7307692307692307	0.7295221843003413	0.7301451750640479	0.2704778156996587	4.469848E8	4.737867982385069E-7
hpcwire	0.8364849833147943	0.6416382252559727	0.7262192177691936	0.3583617747440273	1721704.375	7.81963024110155E-7
stocktwits	0.36666666666666664	0.09385665529010238	0.1494565217391304	0.9061433447098977	NaN	NaN
tickerspy	0.8191985088536813	0.75	0.7830734966592429	0.25	4.9537984E8	1.3151692428436945E-6
investopedia	0.6012024048096193	0.25597269624573377	0.3590664272890485	0.7440273037542662	NaN	NaN
thestree	0.9443826473859844	0.7244027303754266	0.8198937711250602	0.2755972696245734	3.13366336E8	2.767933665381861E-6
finviz	0.4781420765027322	0.2986348122866894	0.3676470588235294	0.7013651877133106	4.045136E8	4.111346243007574E-6
renewable-energy-world	0.8364849833147943	0.6416382252559727	0.7262192177691936	0.3583617747440273	1721574.75	7.744827144051669E-7
stocksmart	0.0016750418760469012	8.532423208191126E-4	0.0011305822498586771	0.9991467576791809	5007563.5	8.340580137655706E-8
advfn	0.8146911519198664	0.41638225255972694	0.5511010728402033	0.5836177474402731	16926.55078125	1.0810812227646238E-6
updown	0.7898617511520737	0.7312286689419796	0.7594151528577758	0.2687713310580204	2.07280668672E11	6.310235107775952E-7
