Source	Precision	Recall	Fmeasure	ErrorRate	MAD	MNAD
finance-abc7chicago-com	0.8164627363737486	0.6262798634812287	0.7088363109608884	0.37372013651877134	1337489.875	9.585201041772962E-7
stockpickr	0.9161451814768461	0.6245733788395904	0.7427701674277017	0.3754266211604096	36195.52734375	3.8076475448178826E-6
smartmoney	0.8746081504702194	0.7141638225255973	0.7862846406763738	0.2858361774744027	1.2771825664E10	8.372476827389619E-7
minyanville	0.8164627363737486	0.6262798634812287	0.7088363109608884	0.37372013651877134	1330582.75	6.634856504206255E-7
raymond-james	0.5937785910338518	0.5537542662116041	0.5730684326710817	0.44624573378839594	85800.78125	5.044577733315236E-7
finance-abc7-com	0.8164627363737486	0.6262798634812287	0.7088363109608884	0.37372013651877134	1337491.375	9.58621853897057E-7
google-finance	0.6841121495327103	0.6245733788395904	0.6529884032114183	0.3754266211604096	3.83353856E8	6.411070785361517E-7
marketintellisearch	0.5634408602150538	0.447098976109215	0.49857278782112274	0.552901023890785	4.6646288E8	9.91111846815329E-7
msn-money	0.8435897435897436	0.8421501706484642	0.842869342442357	0.1578498293515358	5.04276736E8	4.2639018715817656E-7
paidcontent	0.8164627363737486	0.6262798634812287	0.7088363109608884	0.37372013651877134	1330597.625	6.646921519859461E-7
thecramerreport	0.5488565488565489	0.22525597269624573	0.3194192377495463	0.7747440273037542	1590281.0	1.126358171177344E-7
cio-com	0.8506616257088847	0.7679180887372014	0.8071748878923767	0.23208191126279865	1.33270392E8	6.23792800524825E-7
investorguide	0.6302966101694916	0.507679180887372	0.5623818525519848	0.49232081911262804	3.880358144E9	2.5222775257294217E-11
simple-stock-quotes	0.5680628272251309	0.18515358361774745	0.2792792792792793	0.8148464163822525	NaN	NaN
streetinsider-com	0.8001850138760407	0.7380546075085325	0.7678650687971594	0.26194539249146753	41229.828125	3.5387195111979963E-6
eresearch-fidelity-com	0.8141923436041083	0.7440273037542662	0.7775300936246098	0.2559726962457338	3.86240544E8	2.088019712687128E-8
bloomberg	0.6547041707080504	0.575938566552901	0.6128007262823422	0.424061433447099	3.0872416E8	4.912205326945696E-7
tmx-quotemedia	0.7846153846153846	0.7832764505119454	0.7839453458582409	0.2167235494880546	2.6094344E8	9.164067478195648E-7
financial-content	0.814238042269188	0.6245733788395904	0.7069048768710767	0.3754266211604096	1338295.25	9.988505098590394E-7
yahoo-finance	0.7435897435897436	0.742320819112628	0.7429547395388557	0.25767918088737196	4.46201856E8	5.029479552831617E-7
scroli	0.7299630086313194	0.5051194539249146	0.5970751386787695	0.49488054607508536	1695887.0	2.48132948854618E-7
barchart	0.7350427350427351	0.7337883959044369	0.7344150298889839	0.2662116040955631	4.30913632E8	4.784939164892421E-7
hpcwire	0.8164627363737486	0.6262798634812287	0.7088363109608884	0.37372013651877134	1330925.0	6.905083296260273E-7
stocktwits	0.24333333333333335	0.06228668941979522	0.09918478260869565	0.9377133105802048	NaN	NaN
tickerspy	0.7977632805219013	0.7303754266211604	0.7625835189309578	0.2696245733788396	6.43589312E8	7.99269798790192E-7
investopedia	0.5242914979757085	0.22098976109215018	0.31092436974789917	0.7790102389078498	NaN	NaN
thestree	0.917686318131257	0.7039249146757679	0.7967165620473201	0.2960750853242321	2.34349056E8	1.380581579724094E-6
finviz	0.48770491803278687	0.3046075085324232	0.375	0.6953924914675769	4.64597536E8	6.768244702470838E-7
renewable-energy-world	0.8164627363737486	0.6262798634812287	0.7088363109608884	0.37372013651877134	1334276.375	7.860780328883266E-7
stocksmart	0.0025188916876574307	8.532423208191126E-4	0.0012746972594008922	0.9991467576791809	6744896.5	4.325863756093895E-8
advfn	0.7896494156928213	0.4035836177474403	0.5341614906832298	0.5964163822525597	14432.4404296875	1.1402962627471425E-6
updown	0.7692307692307693	0.7167235494880546	0.7420494699646644	0.2832764505119454	2.44737163264E11	7.832056212464522E-7
finapps-forbes-com	0.7331606217616581	0.7244027303754266	0.7287553648068669	0.2755972696245734	2.0430416E8	5.644844804919558E-7
